row_id,anon_vehicle_num,vehicle_type,axles_num,vehicle_code,payment_code_type,GBP_payment_amount,tollplaza_id,tollplaza_code,day_name_of_week,month_name,day_of_month,time,year
25,6702238,car,2,VC965,PTE,4.31,4630,PCA26D872,Thu,Aug,12,01:36:28,2021
26,7598066,car,2,VC965,PTP,5.48,5003,PCAC9371E,Wed,Aug,11,04:05:21,2021
27,2959560,car,2,VC965,PTE,4.08,4243,PCC4F7DCE,Sun,Aug,8,19:09:41,2021
28,9223690,car,2,VC965,PTP,3.13,4023,PC77793DF,Sun,Aug,1,02:04:42,2021
29,495967,car,2,VC965,PTE,3.88,4987,PCF4A9637,Sun,Aug,15,11:11:42,2021
30,1920115,car,2,VC965,PTE,1.26,4755,PC628DCED,Sat,Aug,14,03:39:26,2021
31,9940618,truck,4,VCB43,PTE,8.26,4079,PCF1366ED,Wed,Aug,18,23:33:41,2021
32,733942,car,2,VC965,PTE,5.37,4616,PCE6675F9,Fri,Aug,6,10:18:54,2021
33,3232373,truck,4,VCB43,PTP,3.47,4245,PC6594AD4,Thu,Aug,19,15:58:25,2021
34,2164250,truck,4,VCB43,PTE,6.57,4090,PC1EE951B,Thu,Aug,19,07:23:18,2021
35,3714822,truck,4,VCB43,PTE,0.14,4383,PC4BFE950,Sun,Aug,1,09:10:05,2021
36,9870882,van,2,VCD2F,PTC,8.38,4449,PCAACD453,Sat,Aug,7,13:11:54,2021
37,834998,car,2,VC965,PTP,4.71,4351,PC4E572D8,Tue,Aug,10,01:27:00,2021
38,6715866,car,2,VC965,PTE,7.95,4159,PC5631507,Tue,Aug,10,14:31:35,2021
39,9723146,car,2,VC965,PTC,1.54,4018,PCCB2657A,Sun,Aug,8,09:43:26,2021
40,2871310,car,2,VC965,PTE,7.6,4827,PC7D68CD9,Mon,Aug,2,16:18:51,2021
41,7657312,van,2,VCD2F,PTC,2.6,4115,PCF5D4B0A,Sat,Aug,14,13:13:47,2021
42,9802000,car,2,VC965,PTE,3.79,4102,PC8C9B099,Tue,Aug,3,03:53:05,2021
43,6514220,car,2,VC965,PTP,4.78,4398,PCE60D320,Mon,Aug,16,00:36:00,2021
44,3803763,car,2,VC965,PTE,1.85,4918,PC8F8E598,Fri,Aug,20,02:10:55,2021
45,2223161,car,2,VC965,PTP,2.24,4984,PCBABF130,Sat,Aug,14,06:32:07,2021
46,1228573,truck,4,VCB43,PTP,2.63,4460,PCDF04952,Fri,Jul,30,02:19:56,2021
47,4872795,car,2,VC965,PTC,7.78,4326,PC356AE8F,Wed,Aug,4,14:30:03,2021
48,2074513,van,2,VCD2F,PTE,5.2,4600,PCB99E8F9,Sat,Aug,14,04:04:45,2021
49,7368256,car,2,VC965,PTE,7.55,4735,PC2294422,Thu,Aug,12,04:58:14,2021
50,2168309,car,2,VC965,PTP,5.05,4162,PC51A39A7,Wed,Aug,11,10:50:27,2021
51,5131457,car,2,VC965,PTC,0.56,4012,PCEF5C190,Sun,Aug,8,08:37:17,2021
52,2398430,car,2,VC965,PTC,6.99,4223,PCA37D114,Mon,Aug,9,23:48:43,2021
53,6065595,van,2,VCD2F,PTP,3.63,4990,PCFE28E92,Wed,Aug,18,17:50:45,2021
54,9885768,car,2,VC965,PTP,6.99,4154,PC2C2EF9E,Mon,Aug,2,16:59:38,2021
55,4327783,car,2,VC965,PTC,3.59,4913,PC685427C,Thu,Aug,19,04:54:56,2021
56,3904834,truck,4,VCB43,PTP,0.78,4388,PC803F0F2,Tue,Aug,17,18:11:45,2021
57,1358382,car,2,VC965,PTC,5.07,4299,PCAD3B9BC,Mon,Aug,2,19:48:50,2021
58,3579992,car,2,VC965,PTC,1.17,4725,PCB905D54,Tue,Aug,17,16:46:31,2021
59,8130760,car,2,VC965,PTE,6.91,4229,PCD0DDD3D,Wed,Aug,11,22:21:30,2021
60,6546218,car,2,VC965,PTC,2.45,4354,PC0671DD4,Fri,Jul,30,09:54:24,2021
61,3673515,car,2,VC965,PTC,3.92,4127,PCA2D76A5,Sat,Aug,7,16:42:24,2021
62,9888875,truck,4,VCB43,PTP,4.84,4522,PC0A326BE,Wed,Aug,4,20:43:54,2021
63,8136080,truck,4,VCB43,PTP,6.13,4410,PC6EFC03B,Sat,Aug,7,20:44:08,2021
64,2078447,van,2,VCD2F,PTC,0.76,4689,PC89C35AD,Thu,Aug,12,19:23:36,2021
65,8090807,car,2,VC965,PTC,3.51,4296,PCA24C1E1,Sat,Aug,7,16:41:49,2021
66,4309692,car,2,VC965,PTC,7.21,4303,PC2E2E0C0,Sun,Aug,1,07:32:04,2021
67,3752767,car,2,VC965,PTC,7.46,4346,PCA35B156,Wed,Aug,11,14:24:25,2021
68,9407219,car,2,VC965,PTE,6.39,4253,PC82A16E6,Wed,Aug,4,23:10:29,2021
69,2167845,van,2,VCD2F,PTP,4.88,5007,PC869BDE8,Wed,Aug,4,14:29:11,2021
70,7903517,car,2,VC965,PTP,1.58,4534,PCAD9E1F9,Tue,Aug,17,01:20:54,2021
71,7385817,car,2,VC965,PTP,7.58,4742,PC05B8749,Sat,Aug,21,02:09:35,2021
72,5673776,car,2,VC965,PTC,1.73,4944,PC41EEC34,Thu,Aug,19,17:52:30,2021
73,823973,car,2,VC965,PTC,1.91,4171,PC36C9AE8,Tue,Aug,17,21:58:23,2021
74,9361361,car,2,VC965,PTP,4.9,4750,PCD987A9D,Tue,Aug,10,13:03:36,2021
75,8744445,car,2,VC965,PTE,4.8,4878,PC08F56A1,Sat,Aug,21,19:25:57,2021
76,2910050,car,2,VC965,PTP,4.79,4274,PC88EA64E,Sun,Aug,8,14:01:06,2021
77,1686323,car,2,VC965,PTE,7.1,4377,PC4AC8EAD,Thu,Aug,5,11:21:12,2021
78,9113006,car,2,VC965,PTE,0.27,4265,PC5B2AFFA,Sun,Aug,1,07:10:55,2021
79,660597,car,2,VC965,PTC,8.37,4304,PC89FB76E,Fri,Jul,30,15:53:32,2021
80,8500934,car,2,VC965,PTE,7.58,4797,PCE2D63A7,Sun,Aug,22,16:38:30,2021
81,395519,truck,4,VCB43,PTP,5.58,4061,PC3A63A79,Thu,Aug,19,13:11:29,2021
82,2616607,truck,4,VCB43,PTC,2.75,4085,PC6150735,Mon,Aug,9,14:17:00,2021
83,7218572,car,2,VC965,PTC,0.32,4675,PCE49911B,Sat,Aug,14,10:36:28,2021
84,994857,truck,4,VCB43,PTC,2.74,4997,PC8111910,Thu,Aug,12,11:53:03,2021
85,3168436,car,2,VC965,PTC,2.04,4241,PC7241796,Mon,Aug,2,20:12:17,2021
86,1572712,car,2,VC965,PTP,7.23,4890,PCAFC8A56,Fri,Aug,13,20:06:41,2021
87,545955,car,2,VC965,PTP,4.37,4537,PC10C700F,Thu,Jul,29,17:35:21,2021
88,2013386,car,2,VC965,PTE,6.51,4743,PCE6EEF2E,Sun,Aug,22,05:39:41,2021
89,6566889,car,2,VC965,PTC,1.7,4026,PC2CE9851,Wed,Aug,11,02:43:03,2021
90,852585,car,2,VC965,PTE,3.59,4373,PC8806694,Wed,Aug,11,02:39:24,2021
91,6196238,truck,4,VCB43,PTC,7.18,4116,PCCA836C9,Thu,Jul,29,14:30:02,2021
92,6031416,truck,4,VCB43,PTP,1.34,4785,PC787D664,Mon,Aug,2,11:07:12,2021
93,6905906,van,2,VCD2F,PTP,3.24,5002,PC585BD38,Wed,Aug,4,15:15:09,2021
94,3764238,car,2,VC965,PTC,3.53,4728,PC07BF95F,Wed,Aug,11,17:34:54,2021
95,1673826,truck,4,VCB43,PTE,1.25,4015,PC524833E,Thu,Aug,5,06:31:23,2021
96,316662,car,2,VC965,PTP,0.17,4817,PCFF02057,Sat,Aug,21,18:13:29,2021
97,2992127,truck,4,VCB43,PTC,0.2,4857,PC59F4E22,Thu,Aug,19,22:17:26,2021
98,7517992,car,2,VC965,PTC,1.17,4724,PC3DE08BF,Thu,Aug,19,12:02:31,2021
99,6232948,truck,4,VCB43,PTP,5.09,4725,PCB905D54,Thu,Aug,12,06:54:12,2021
100,4369477,car,2,VC965,PTC,7.46,4591,PCC9875AC,Fri,Jul,30,08:09:03,2021
101,4388245,truck,4,VCB43,PTP,7.74,4792,PC3E35002,Fri,Aug,6,18:18:53,2021
102,8392508,car,2,VC965,PTE,4.74,4927,PC2D22627,Sat,Aug,7,20:49:07,2021
103,6858708,car,2,VC965,PTE,4.09,4397,PCB070250,Fri,Jul,30,16:08:08,2021
104,6215048,truck,4,VCB43,PTP,3.95,4195,PC308070B,Fri,Aug,6,06:59:16,2021
105,7046549,truck,4,VCB43,PTE,4.69,4336,PCD30AB50,Fri,Aug,13,11:20:04,2021
106,7899881,truck,4,VCB43,PTP,3.78,4520,PC8140983,Wed,Aug,4,18:37:46,2021
107,9824238,car,2,VC965,PTE,0.48,4328,PC3777B8E,Fri,Aug,20,01:13:53,2021
108,8180012,car,2,VC965,PTC,5.53,4749,PC65C93B7,Sun,Aug,8,10:25:38,2021
109,426578,car,2,VC965,PTP,8.05,4990,PCFE28E92,Tue,Aug,10,12:42:19,2021
110,3284775,car,2,VC965,PTP,5.76,4231,PC016D687,Thu,Jul,29,11:33:20,2021
111,5487227,car,2,VC965,PTC,3.51,4643,PC6713209,Sat,Jul,31,18:42:46,2021
112,1772941,car,2,VC965,PTP,7.84,4121,PCEC57A8E,Thu,Aug,12,23:09:32,2021
113,2471284,van,2,VCD2F,PTP,1.7,4400,PC3BD7D63,Fri,Aug,13,04:52:01,2021
114,6040036,car,2,VC965,PTE,7.01,4119,PC9EBEDB5,Sun,Aug,22,03:05:40,2021
115,9249042,truck,4,VCB43,PTE,6.48,4695,PC4A5D62F,Fri,Aug,13,12:39:10,2021
116,5791925,car,2,VC965,PTC,4.27,4495,PC210A754,Mon,Aug,9,22:59:28,2021
117,3696614,truck,4,VCB43,PTE,7.29,4434,PCA491459,Fri,Aug,6,01:01:14,2021
118,7892550,car,2,VC965,PTC,6.63,4299,PCAD3B9BC,Mon,Aug,2,05:42:51,2021
119,5673214,van,2,VCD2F,PTE,0.2,4023,PC77793DF,Sun,Aug,1,19:31:14,2021
120,6657095,truck,4,VCB43,PTC,6.14,4365,PC0F226DF,Fri,Aug,6,05:58:42,2021
121,2067579,van,2,VCD2F,PTC,2.16,4582,PC98750ED,Mon,Aug,9,16:03:31,2021
122,1005686,car,2,VC965,PTE,5.8,4119,PC9EBEDB5,Fri,Aug,13,11:42:48,2021
123,7521772,van,2,VCD2F,PTE,5.19,4416,PC546F252,Sun,Aug,8,02:44:35,2021
124,6545042,car,2,VC965,PTP,1.12,4898,PC0AE9E1B,Sun,Aug,15,08:43:48,2021
125,3473929,truck,4,VCB43,PTE,7.65,4698,PC8BCEB19,Mon,Aug,9,05:03:17,2021
126,29457,car,2,VC965,PTP,4.41,4416,PC546F252,Sun,Aug,22,02:13:18,2021
127,7360318,car,2,VC965,PTE,2.05,4993,PC0F0AB4E,Sat,Aug,21,23:03:24,2021
128,3427163,truck,4,VCB43,PTE,8.5,4356,PCF1979AE,Tue,Aug,17,10:32:29,2021
129,3007179,van,2,VCD2F,PTP,7.97,4504,PC461DCD3,Fri,Jul,30,08:44:05,2021
130,2151509,car,2,VC965,PTC,0.71,4811,PCBF83C7A,Fri,Aug,20,06:01:27,2021
131,1067960,car,2,VC965,PTC,4.27,4574,PCC1F6F13,Sat,Jul,31,05:17:21,2021
132,1100257,car,2,VC965,PTE,1.45,4116,PCCA836C9,Tue,Aug,3,07:01:26,2021
133,4346999,car,2,VC965,PTC,4.68,4049,PC4779D38,Sun,Aug,22,10:01:40,2021
134,4371005,car,2,VC965,PTP,4.56,4435,PC3E78C17,Sat,Aug,14,17:24:04,2021
135,1583109,car,2,VC965,PTE,8.53,4272,PC09BDC08,Sat,Aug,14,11:50:01,2021
136,8808595,car,2,VC965,PTE,0.39,4929,PC9E503B6,Wed,Aug,18,07:26:20,2021
137,1841800,van,2,VCD2F,PTE,1.99,4531,PC857F4A0,Thu,Aug,5,01:15:16,2021
138,1825050,car,2,VC965,PTP,7.54,4222,PC15EC378,Sat,Jul,31,00:28:44,2021
139,8490556,car,2,VC965,PTE,6.93,4657,PCC591410,Fri,Aug,13,09:54:01,2021
140,2549393,truck,4,VCB43,PTE,2.04,4481,PC30AAE76,Thu,Jul,29,23:02:42,2021
141,9636921,truck,4,VCB43,PTP,6.21,4145,PC5FBE4B8,Wed,Aug,11,13:15:55,2021
142,8899022,truck,4,VCB43,PTP,7.48,4813,PCACF7982,Thu,Aug,19,21:13:57,2021
143,8112100,van,2,VCD2F,PTC,0.37,4585,PCF3AE602,Thu,Aug,19,08:46:24,2021
144,335366,car,2,VC965,PTE,1.87,4924,PCE3427C5,Thu,Jul,29,16:02:19,2021
145,1716955,truck,4,VCB43,PTE,2.04,4584,PC1085B78,Sat,Jul,31,19:32:50,2021
146,4153555,van,2,VCD2F,PTC,0.58,4225,PCC1ED0C5,Sat,Aug,21,13:56:33,2021
147,5626263,car,2,VC965,PTE,1.07,4719,PCBD66B01,Sat,Jul,31,12:55:05,2021
148,49472,car,2,VC965,PTE,5.46,4830,PC12EEFE0,Fri,Aug,6,23:05:57,2021
149,2497636,car,2,VC965,PTE,1.79,4073,PCA3797CA,Thu,Aug,5,15:24:15,2021
150,7825358,truck,4,VCB43,PTC,4.09,4954,PCA276EBB,Tue,Aug,3,19:13:15,2021
151,6084818,van,2,VCD2F,PTE,4.88,4732,PCD83DE25,Sat,Jul,31,11:27:59,2021
152,5455899,car,2,VC965,PTP,7.26,4155,PC9042B3F,Thu,Aug,19,18:53:39,2021
153,1849505,van,2,VCD2F,PTP,0.7,4142,PC7ACFF7C,Tue,Aug,17,22:11:51,2021
154,6114302,car,2,VC965,PTC,3.97,4737,PCED7EAFE,Wed,Aug,18,19:49:38,2021
155,8064123,car,2,VC965,PTP,0.7,4337,PCCF6A454,Sun,Aug,15,12:34:18,2021
156,538972,truck,4,VCB43,PTE,5.78,4507,PC11DCA73,Fri,Aug,6,19:17:50,2021
157,6869546,truck,4,VCB43,PTE,1.92,4092,PC40C2E00,Fri,Jul,30,13:58:53,2021
158,3766512,car,2,VC965,PTP,3.14,4269,PCC7106FF,Mon,Aug,2,16:00:33,2021
159,3528403,car,2,VC965,PTC,8.28,4610,PCA4D3E9B,Fri,Aug,20,21:45:41,2021
160,4380057,van,2,VCD2F,PTP,7.73,4980,PCBD5C822,Fri,Aug,20,04:59:50,2021
161,7876599,car,2,VC965,PTC,2.49,4295,PCD483999,Sun,Aug,15,00:36:59,2021
162,969619,car,2,VC965,PTP,0.21,4412,PC821BC98,Fri,Aug,13,00:25:06,2021
163,5763049,car,2,VC965,PTC,3.23,4364,PCB33ACE8,Fri,Jul,30,13:42:03,2021
164,6079402,truck,4,VCB43,PTE,6.98,4290,PC84E8CEF,Mon,Aug,16,05:46:00,2021
165,4832816,car,2,VC965,PTP,6.08,4264,PC9DFEBB0,Sun,Aug,1,22:59:23,2021
166,3518759,truck,4,VCB43,PTE,7.57,4412,PC821BC98,Fri,Aug,20,12:19:46,2021
167,4469770,truck,4,VCB43,PTP,0.5,4712,PC94168A2,Sat,Jul,31,02:42:05,2021
168,7942552,truck,4,VCB43,PTC,5.36,4603,PC485BE5B,Fri,Aug,6,11:25:34,2021
169,2493747,truck,4,VCB43,PTC,2.63,4180,PC250A90D,Tue,Aug,17,21:17:32,2021
170,8099060,car,2,VC965,PTE,4.15,4592,PC627AA14,Tue,Aug,3,15:31:28,2021
171,4492765,truck,4,VCB43,PTC,6.73,4008,PC5680D80,Fri,Aug,20,22:50:25,2021
172,5758058,car,2,VC965,PTC,3.24,4083,PC90346C9,Fri,Aug,6,07:45:56,2021
173,9496559,car,2,VC965,PTE,4.33,4573,PC4D8469D,Thu,Aug,19,00:24:55,2021
174,3174341,car,2,VC965,PTP,4.68,4642,PC17D596F,Fri,Jul,30,02:24:22,2021
175,3318165,car,2,VC965,PTP,7.17,4693,PCB4CDDA5,Fri,Aug,13,05:55:34,2021
176,7509515,truck,4,VCB43,PTE,4.09,4787,PC1BDA119,Mon,Aug,2,14:28:14,2021
177,367073,car,2,VC965,PTP,4.59,4989,PC7D7AE48,Tue,Aug,3,12:47:44,2021
178,8543348,truck,4,VCB43,PTP,6.26,4803,PC2BBEEDC,Sun,Aug,8,09:26:56,2021
179,4588656,car,2,VC965,PTE,3.15,4848,PCF0FC9B2,Fri,Aug,20,04:16:14,2021
180,9706662,car,2,VC965,PTC,2.4,4377,PC4AC8EAD,Fri,Aug,20,04:22:16,2021
181,3359010,car,2,VC965,PTC,4.62,4947,PCE4A44BE,Tue,Aug,10,03:28:33,2021
182,7639441,car,2,VC965,PTE,4.66,4439,PC845CEA6,Wed,Aug,18,11:24:47,2021
183,9449600,car,2,VC965,PTE,3.75,4346,PCA35B156,Tue,Aug,3,08:52:25,2021
184,7572233,car,2,VC965,PTP,7.07,4718,PC81E83B9,Wed,Aug,11,06:39:10,2021
185,7096671,truck,4,VCB43,PTP,3.84,4049,PC4779D38,Fri,Aug,20,03:23:49,2021
186,6218100,car,2,VC965,PTC,4.7,4579,PC926F0A9,Fri,Jul,30,23:54:00,2021
187,9500467,van,2,VCD2F,PTC,7.63,4985,PCCA71D2C,Wed,Aug,11,07:11:55,2021
188,2551672,truck,4,VCB43,PTP,5.27,4356,PCF1979AE,Sun,Aug,15,20:41:12,2021
189,4423795,car,2,VC965,PTE,7.51,4631,PCFFF6463,Wed,Aug,18,18:28:36,2021
190,1520424,car,2,VC965,PTE,1.97,4898,PC0AE9E1B,Mon,Aug,9,07:19:12,2021
191,5680437,car,2,VC965,PTC,1.38,4022,PCF135377,Tue,Aug,10,16:39:12,2021
192,1469208,van,2,VCD2F,PTC,7.29,4586,PC4A40D50,Mon,Aug,9,02:30:05,2021
193,9017449,car,2,VC965,PTP,4.87,4733,PC797AEBF,Mon,Aug,9,06:58:52,2021
194,9014873,truck,4,VCB43,PTC,7.54,4764,PCF6B0D12,Sat,Aug,7,03:09:03,2021
195,6849933,car,2,VC965,PTE,8.43,4466,PC6E93A05,Sat,Aug,7,21:03:28,2021
196,1907386,car,2,VC965,PTP,0.33,4158,PCAA68777,Sun,Aug,1,00:29:43,2021
197,5556619,truck,4,VCB43,PTP,5.54,4111,PC07F012A,Sun,Aug,1,01:56:36,2021
198,8724319,truck,4,VCB43,PTC,0.65,4591,PCC9875AC,Tue,Aug,17,00:22:53,2021
199,4066334,car,2,VC965,PTE,4.75,4015,PC524833E,Mon,Aug,9,08:24:12,2021
200,1208453,car,2,VC965,PTE,5.97,4420,PCFDB2950,Sat,Jul,31,19:46:31,2021
201,8705286,truck,4,VCB43,PTE,4.93,4924,PCE3427C5,Fri,Aug,6,18:13:51,2021
202,758555,car,2,VC965,PTP,4.56,4501,PC5D41947,Thu,Aug,12,00:17:15,2021
203,7388283,car,2,VC965,PTE,4.94,4026,PC2CE9851,Tue,Aug,10,22:07:00,2021
204,7589773,car,2,VC965,PTE,2.16,4280,PC03A5F23,Sun,Aug,8,07:16:20,2021
205,2316095,car,2,VC965,PTP,7.42,4953,PC1E2B07E,Wed,Aug,18,08:29:07,2021
206,1847455,van,2,VCD2F,PTE,2.72,4923,PC8A7A22A,Tue,Aug,10,20:36:42,2021
207,7707016,car,2,VC965,PTP,7.44,4283,PC953B572,Fri,Aug,13,05:36:53,2021
208,2616520,truck,4,VCB43,PTE,2.53,4899,PC4967767,Sun,Aug,1,04:10:44,2021
209,8332760,truck,4,VCB43,PTP,8.48,4560,PC5030572,Sun,Aug,15,11:41:43,2021
210,9677148,car,2,VC965,PTP,0.27,4037,PC0A50259,Mon,Aug,9,05:19:02,2021
211,2695699,car,2,VC965,PTC,7.73,4610,PCA4D3E9B,Wed,Aug,4,19:23:36,2021
212,1836057,car,2,VC965,PTP,0.82,4775,PCA50FB36,Fri,Aug,20,04:00:27,2021
213,7980271,truck,4,VCB43,PTP,7.88,4414,PC40BD0F3,Wed,Aug,18,09:20:33,2021
214,9166253,car,2,VC965,PTC,5.56,4915,PC86B0D7B,Sat,Jul,31,01:41:58,2021
215,5966610,car,2,VC965,PTE,2.67,4618,PC8F4AF85,Mon,Aug,2,20:26:27,2021
216,8273227,car,2,VC965,PTP,6.81,4909,PCDED6F20,Tue,Aug,10,14:11:13,2021
217,4772310,car,2,VC965,PTP,6.92,4497,PC76FDDEA,Tue,Aug,17,11:21:41,2021
218,401226,car,2,VC965,PTC,7.41,4401,PC0606D6A,Thu,Aug,12,01:18:11,2021
219,5259884,van,2,VCD2F,PTE,1.18,4284,PC0DB49FD,Mon,Aug,2,22:30:06,2021
220,4560546,car,2,VC965,PTC,7.66,4235,PCFB11406,Thu,Aug,12,13:20:29,2021
221,3679257,truck,4,VCB43,PTE,3.48,4482,PCB6A16D7,Fri,Aug,6,23:10:56,2021
222,5001460,car,2,VC965,PTC,1.95,4981,PC6B14C5D,Sun,Aug,8,01:28:48,2021
223,488809,car,2,VC965,PTE,7.74,4175,PC08EA270,Thu,Aug,12,14:26:03,2021
224,4435309,car,2,VC965,PTE,6.45,4188,PCDB12C82,Sun,Aug,15,16:57:15,2021
225,9206176,car,2,VC965,PTC,8.28,4015,PC524833E,Fri,Aug,6,17:35:18,2021
226,5665208,truck,4,VCB43,PTP,4.45,4230,PC19CE0DB,Sat,Aug,7,03:08:44,2021
227,3619766,car,2,VC965,PTC,5.97,4686,PCD6E5E77,Sun,Aug,1,05:31:31,2021
228,8195160,car,2,VC965,PTE,8.53,4123,PCDE850D8,Wed,Aug,18,09:22:29,2021
229,689804,truck,4,VCB43,PTC,3.42,4283,PC953B572,Wed,Aug,4,05:40:04,2021
230,7671204,car,2,VC965,PTC,2.48,4016,PCCD7399B,Mon,Aug,16,02:36:38,2021
231,7549660,truck,4,VCB43,PTC,3.92,4504,PC461DCD3,Fri,Aug,6,19:31:40,2021
232,6999001,car,2,VC965,PTE,4.62,4377,PC4AC8EAD,Mon,Aug,2,17:00:36,2021
233,3470780,truck,4,VCB43,PTC,0.99,4971,PC0BD172F,Thu,Aug,12,15:17:57,2021
234,3321932,car,2,VC965,PTC,4.88,4031,PC0214185,Sat,Aug,7,15:21:43,2021
235,2993477,truck,4,VCB43,PTE,6.01,4965,PCA0BAE0F,Mon,Aug,9,04:56:23,2021
236,7137012,car,2,VC965,PTC,1.16,4350,PCEDD7E85,Fri,Aug,13,09:02:27,2021
237,4425207,car,2,VC965,PTP,5.65,4232,PC4156AD5,Mon,Aug,2,07:55:35,2021
238,8906007,car,2,VC965,PTE,6.98,4592,PC627AA14,Sat,Aug,14,11:54:16,2021
239,2613132,car,2,VC965,PTP,4.61,4760,PC161AC8D,Sat,Jul,31,04:23:09,2021
240,1351738,truck,4,VCB43,PTE,6.93,5002,PC585BD38,Mon,Aug,16,01:53:03,2021
241,8845283,car,2,VC965,PTE,3.16,4974,PCDEB8E32,Sat,Aug,14,11:49:22,2021
242,5207716,car,2,VC965,PTE,1.7,4361,PC2E0C888,Wed,Aug,18,19:07:34,2021
243,2593435,car,2,VC965,PTP,2.41,4946,PCCF18BAF,Mon,Aug,9,05:34:28,2021
244,3194131,car,2,VC965,PTC,6.22,4314,PC7E9E8F3,Sat,Aug,14,08:00:30,2021
245,946473,car,2,VC965,PTE,3.48,4784,PCDB42B34,Sat,Aug,14,08:01:53,2021
246,2098761,truck,4,VCB43,PTE,0.18,4611,PC2EBEAB9,Mon,Aug,2,19:28:13,2021
247,7556070,van,2,VCD2F,PTP,4.99,4515,PC6A1B37B,Wed,Aug,11,02:53:00,2021
248,7949412,car,2,VC965,PTC,1.09,4531,PC857F4A0,Fri,Aug,13,20:51:49,2021
249,4982057,car,2,VC965,PTE,4.52,4070,PCEECA8B2,Mon,Aug,16,01:15:58,2021
250,1732371,car,2,VC965,PTC,8.08,4891,PC57036DA,Sun,Aug,15,04:10:44,2021
251,4012995,car,2,VC965,PTE,7.55,4325,PC8FC83B3,Sun,Aug,8,23:50:15,2021
252,2596237,car,2,VC965,PTP,6.59,4672,PC03AE86F,Wed,Aug,18,07:43:49,2021
253,8381319,car,2,VC965,PTC,7.27,4147,PC4D2C5A7,Mon,Aug,2,17:51:59,2021
254,5062265,truck,4,VCB43,PTC,6.88,4049,PC4779D38,Wed,Aug,11,21:55:31,2021
255,7705983,car,2,VC965,PTE,0.38,4748,PCF2ECD29,Mon,Aug,16,17:16:35,2021
256,2307979,van,2,VCD2F,PTC,1.25,4654,PCBA5D8AB,Thu,Jul,29,16:35:35,2021
257,2588561,car,2,VC965,PTC,3.89,4890,PCAFC8A56,Mon,Aug,16,03:21:45,2021
258,6847371,car,2,VC965,PTE,8.08,4972,PCC51AD39,Sun,Aug,8,12:39:42,2021
259,2121085,car,2,VC965,PTE,2.72,4709,PCC8C7059,Tue,Aug,17,15:39:08,2021
260,1734512,car,2,VC965,PTC,3.52,4788,PC00AE965,Tue,Aug,3,01:37:46,2021
261,7759834,truck,4,VCB43,PTE,0.43,4306,PC5D6563A,Tue,Aug,17,22:18:40,2021
262,6292412,car,2,VC965,PTE,6.62,4436,PC0CF9451,Mon,Aug,16,10:41:55,2021
